episode,best_reward
0,-8.099999999999998
2,-6.899999999999999
5,-4.499999999999998
18,-3.299999999999998
107,-0.8999999999999986
166,-0.29999999999999893
767,0.3000000000000007
1353,2.0999999999999996
3190,2.6999999999999993
4319,3.8999999999999986
10841,5.999999999999995
11428,6.199999999999994
14084,8.399999999999986
15815,8.699999999999985
24704,12.299999999999974
46138,12.899999999999974
58642,18.100000000000012
66004,18.300000000000015
66082,19.100000000000026
66191,22.40000000000006
67244,31.900000000000162
76681,33.00000000000018
84266,34.600000000000186
90917,39.000000000000234
92907,40.90000000000026
106232,42.10000000000028
111385,45.90000000000032
122609,50.40000000000037
145053,57.100000000000435
168650,60.50000000000048
196217,60.600000000000485
286343,64.40000000000042
311566,66.70000000000034
332574,67.20000000000032
365981,69.70000000000017
422333,90.69999999999926
604586,95.19999999999906
855419,96.89999999999897
987781,97.49999999999893